Region,Size,Number
Dnipropetrovsk Oblast,2000000,112000
Kharkiv Oblast,1900000,99000
Zaporizhia Oblast,1800000,99000
Poltava Oblast,1700000,107000
Kirovohrad Oblast,1700000,84000
Mykolaiv Oblast,1600000,79000
Odesa Oblast,1600000,83000
Vinnytsia Oblast,1500000,96000
Kherson Oblast,1500000,88000
Chernihiv Oblast,1400000,70000
Donetsk Oblast,1400000,68000
Sumy Oblast,1200000,52000
Kyiv Oblast,1200000,61000
Luhansk Oblast,1200000,54000
Cherkasy Oblast,1200000,67000
Khmelnytskyi Oblast,1200000,66000
Zhytomyr Oblast,906200,53000
Ternopil Oblast,761600,84000
Lviv Oblast,564300,74000
Rivne Oblast,507800,65000
Volyn Oblast,446800,80000
Ivanofrankivsk Oblast,271700,43000
Chernivtsi Oblast,214600,60000
Zakarpattia Oblast,100300,28000
Kyiv,160.9,45
