country,subnational1,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e,gfw_forest_carbon_gross_emissions_2023__Mg_CO2e,gfw_forest_carbon_gross_emissions_2024__Mg_CO2e
Ukraine,?,0,13583,480551,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,?,10,7364,478937,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,?,15,6969,473111,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,?,20,6867,471409,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,?,25,6673,468372,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,?,30,6443,465147,151,3894,50188,-46293,3552,852,2533,11816,5553,8164,131,798,6050,610,1772,2688,1668,2189,4796,3823,8410,6955,1148,5140,6098,4426,3940,366
Ukraine,?,50,5957,454956,175,3715,46583,-42869,3447,702,2496,11486,5394,7953,27,614,5832,582,1674,2574,1411,2159,4576,3358,7859,6795,1054,4962,5894,4212,3790,294
Ukraine,?,75,3982,322937,219,2101,31525,-29424,2709,118,1947,4899,3974,5505,0,248,4044,319,935,2276,676,815,1493,1364,4117,3305,274,2715,3105,2940,2412,246
Ukraine,Cherkasy,0,2094279,20295914,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,10,477788,20112939,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,15,455173,19821978,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,20,440849,19636109,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,25,424006,19425790,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,30,404531,19172183,182,575210,3133108,-2557900,97640,219634,129201,292068,245651,234026,288318,654324,313985,370924,524045,536942,485732,463374,609302,878349,898862,1764730,587143,645226,2032105,586819,465535,481091
Ukraine,Cherkasy,50,352634,18240316,208,561022,2742910,-2181887,92847,207162,124204,278431,237996,227569,281190,641818,308185,364733,517065,528110,474723,453204,590798,846337,863368,1717096,573151,627934,2005415,571185,457906,474119
Ukraine,Cherkasy,75,255032,14268000,235,442524,2029293,-1586769,61474,119305,78864,160064,143068,143393,196159,461757,226630,290453,420379,407020,360393,371436,469344,663935,684227,1294673,480195,519598,1788198,471821,401279,406926
Ukraine,Chernihiv,0,3246319,45671232,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Chernihiv,10,947431,45503703,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Chernihiv,15,912098,45127559,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
