country,subnational1,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2012_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023,tc_loss_ha_2024
Ukraine,?,0,13583,13583,13583,255,10,4,7,35,17,23,4,7,16,2,8,6,7,6,10,18,25,17,3,12,14,9,8,1
Ukraine,?,10,13583,7364,6785,255,10,3,7,34,14,21,1,5,16,1,6,5,5,4,10,12,22,15,3,11,12,8,8,0
Ukraine,?,15,13583,6969,6491,255,10,3,7,34,14,21,0,5,16,1,5,5,5,4,10,11,20,15,3,10,12,8,8,0
Ukraine,?,20,13583,6867,6456,255,10,3,7,34,14,21,0,5,15,1,5,5,5,4,10,10,20,15,3,10,12,8,8,0
Ukraine,?,25,13583,6673,6390,255,10,3,7,34,14,21,0,4,15,1,4,5,4,4,10,9,20,15,3,10,12,8,7,0
Ukraine,?,30,13583,6443,6267,255,10,3,7,34,14,21,0,3,15,1,4,5,4,4,10,9,20,15,3,10,12,8,7,0
Ukraine,?,50,13583,5957,5720,255,9,3,6,32,14,20,0,1,13,1,3,5,3,4,10,7,17,14,2,10,11,8,7,0
Ukraine,?,75,13583,3982,3475,255,7,0,5,12,10,13,0,0,9,0,2,5,1,2,3,3,8,6,0,5,6,5,4,0
Ukraine,Cherkasy,0,2094279,2094279,2094279,29810,373,786,445,989,767,717,849,1783,883,999,1343,1393,1261,1165,1553,2297,2453,4155,1438,1630,4379,1460,1088,1082
Ukraine,Cherkasy,10,2094279,477788,481128,29810,363,775,439,972,756,707,840,1768,865,987,1336,1384,1225,1141,1512,2209,2315,4032,1387,1533,4257,1333,1015,1011
Ukraine,Cherkasy,15,2094279,455173,447264,29810,360,769,438,962,754,701,836,1762,861,983,1334,1381,1222,1140,1508,2200,2296,4015,1383,1526,4248,1324,1012,1006
Ukraine,Cherkasy,20,2094279,440849,442809,29810,359,765,437,958,753,700,835,1759,860,982,1331,1379,1221,1139,1505,2192,2282,4004,1380,1520,4240,1318,1010,1002
Ukraine,Cherkasy,25,2094279,424006,431494,29810,357,763,436,955,751,699,833,1758,857,981,1330,1378,1219,1137,1501,2184,2269,3994,1377,1515,4232,1311,1006,999
Ukraine,Cherkasy,30,2094279,404531,418893,29810,356,762,435,953,751,698,833,1757,857,980,1329,1375,1215,1136,1494,2171,2247,3969,1369,1505,4219,1301,1002,995
Ukraine,Cherkasy,50,2094279,352634,347079,29810,313,668,397,853,703,659,794,1694,824,948,1296,1332,1166,1093,1419,2040,2099,3796,1316,1438,4115,1235,966,964
Ukraine,Cherkasy,75,2094279,255032,237130,29810,190,356,235,452,402,402,539,1186,587,741,1032,997,850,874,1096,1552,1607,2765,1083,1164,3591,983,828,802
Ukraine,Chernihiv,0,3246319,3246319,3246319,135011,2205,2325,3881,3707,4014,4546,2708,4421,4198,5393,6067,5415,3068,3263,4436,7582,5715,5296,4396,6125,5704,4403,5301,4359
Ukraine,Chernihiv,10,3246319,947431,984575,135011,2191,2315,3867,3696,4009,4535,2699,4399,4177,5374,6051,5375,3018,3140,4271,7249,5376,4811,3733,5146,4605,3356,4065,3575
Ukraine,Chernihiv,15,3246319,912098,933582,135011,2183,2307,3861,3690,4004,4529,2694,4391,4168,5369,6045,5369,3009,3130,4251,7210,5343,4783,3707,5087,4563,3311,4017,3550
Ukraine,Chernihiv,20,3246319,891944,922309,135011,2179,2302,3854,3686,3999,4526,2689,4386,4165,5366,6042,5364,3004,3124,4239,7189,5328,4766,3692,5066,4544,3290,3995,3538
