country,subnational1,subnational2,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e,gfw_forest_carbon_gross_emissions_2023__Mg_CO2e,gfw_forest_carbon_gross_emissions_2024__Mg_CO2e
Ukraine,?,?,0,13583,480551,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,?,?,10,7364,478937,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,?,?,15,6969,473111,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,?,?,20,6867,471409,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,?,?,25,6673,468372,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,?,?,30,6443,465147,151,3894,50188,-46293,3552,852,2533,11816,5553,8164,131,798,6050,610,1772,2688,1668,2189,4796,3823,8410,6955,1148,5140,6098,4426,3940,366
Ukraine,?,?,50,5957,454956,175,3715,46583,-42869,3447,702,2496,11486,5394,7953,27,614,5832,582,1674,2574,1411,2159,4576,3358,7859,6795,1054,4962,5894,4212,3790,294
Ukraine,?,?,75,3982,322937,219,2101,31525,-29424,2709,118,1947,4899,3974,5505,0,248,4044,319,935,2276,676,815,1493,1364,4117,3305,274,2715,3105,2940,2412,246
Ukraine,Cherkasy,Cherkas'ka,0,10166,41132,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Cherkas'ka,10,1520,39515,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Cherkas'ka,15,1180,34402,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Cherkas'ka,20,1066,32231,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Cherkas'ka,25,830,27981,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Cherkas'ka,30,698,25825,115,507,4821,-4313,122,294,123,215,121,182,45,347,45,208,64,0,0,24,151,1403,2157,276,185,52,4185,881,548,536
Ukraine,Cherkasy,Cherkas'ka,50,432,20689,146,456,3046,-2588,105,261,123,152,35,109,45,320,45,208,56,0,0,24,105,1288,1914,260,134,52,3961,833,469,458
Ukraine,Cherkasy,Cherkas'ka,75,199,12278,178,344,1442,-1098,47,64,0,139,0,0,45,115,0,58,0,0,0,24,63,1041,1563,197,134,52,3493,721,257,245
Ukraine,Cherkasy,Cherkas'kyi,0,163181,4292568,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Cherkas'kyi,10,75782,4268603,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Cherkas'kyi,15,73573,4236279,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
