country,subnational1,subnational2,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2012_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023,tc_loss_ha_2024
Ukraine,?,?,0,13583,13583,13583,255,10,4,7,35,17,23,4,7,16,2,8,6,7,6,10,18,25,17,3,12,14,9,8,1
Ukraine,?,?,10,13583,7364,6785,255,10,3,7,34,14,21,1,5,16,1,6,5,5,4,10,12,22,15,3,11,12,8,8,0
Ukraine,?,?,15,13583,6969,6491,255,10,3,7,34,14,21,0,5,16,1,5,5,5,4,10,11,20,15,3,10,12,8,8,0
Ukraine,?,?,20,13583,6867,6456,255,10,3,7,34,14,21,0,5,15,1,5,5,5,4,10,10,20,15,3,10,12,8,8,0
Ukraine,?,?,25,13583,6673,6390,255,10,3,7,34,14,21,0,4,15,1,4,5,4,4,10,9,20,15,3,10,12,8,7,0
Ukraine,?,?,30,13583,6443,6267,255,10,3,7,34,14,21,0,3,15,1,4,5,4,4,10,9,20,15,3,10,12,8,7,0
Ukraine,?,?,50,13583,5957,5720,255,9,3,6,32,14,20,0,1,13,1,3,5,3,4,10,7,17,14,2,10,11,8,7,0
Ukraine,?,?,75,13583,3982,3475,255,7,0,5,12,10,13,0,0,9,0,2,5,1,2,3,3,8,6,0,5,6,5,4,0
Ukraine,Cherkasy,Cherkas'ka,0,10166,10166,10166,48,0,2,1,1,1,1,1,1,1,0,0,0,0,0,1,7,10,1,1,1,9,4,2,3
Ukraine,Cherkasy,Cherkas'ka,10,10166,1520,941,48,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,5,7,1,1,0,9,2,1,1
Ukraine,Cherkasy,Cherkas'ka,15,10166,1180,728,48,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,5,7,1,1,0,9,2,1,1
Ukraine,Cherkasy,Cherkas'ka,20,10166,1066,692,48,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,5,7,1,1,0,9,2,1,1
Ukraine,Cherkasy,Cherkas'ka,25,10166,830,638,48,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,4,5,1,1,0,9,2,1,1
Ukraine,Cherkasy,Cherkas'ka,30,10166,698,564,48,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,4,5,0,1,0,9,2,1,1
Ukraine,Cherkasy,Cherkas'ka,50,10166,432,275,48,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4,4,0,0,0,7,2,1,1
Ukraine,Cherkasy,Cherkas'ka,75,10166,199,98,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,6,2,0,0
Ukraine,Cherkasy,Cherkas'kyi,0,163181,163181,163181,3475,119,393,170,497,408,324,429,1231,334,428,679,684,566,538,651,868,719,2111,418,486,2674,455,236,252
Ukraine,Cherkasy,Cherkas'kyi,10,163181,75782,70977,3475,119,390,170,489,407,321,426,1224,331,425,677,682,557,525,636,854,704,2093,411,482,2648,420,218,243
Ukraine,Cherkasy,Cherkas'kyi,15,163181,73573,68257,3475,118,387,170,486,406,318,425,1219,330,424,676,682,556,525,634,851,703,2089,410,481,2645,418,217,243
Ukraine,Cherkasy,Cherkas'kyi,20,163181,72535,67793,3475,117,386,169,484,405,318,424,1218,329,423,675,681,556,524,633,847,701,2087,410,481,2643,415,217,242
Ukraine,Cherkasy,Cherkas'kyi,25,163181,71190,66574,3475,117,385,168,484,405,317,424,1217,329,423,675,681,555,523,631,844,698,2085,409,480,2641,414,216,242
Ukraine,Cherkasy,Cherkas'kyi,30,163181,69645,65297,3475,117,385,168,483,404,317,424,1216,329,422,675,680,553,522,629,840,695,2081,407,479,2637,410,215,241
