Entity,Code,Year,Sunflower oil - Production (tonnes)
Afghanistan,AFG,1961,2937.75
Afghanistan,AFG,1962,3137.75
Afghanistan,AFG,1963,3137.75
Afghanistan,AFG,1964,3137.75
Afghanistan,AFG,1965,3237.75
Afghanistan,AFG,1966,3437.75
Afghanistan,AFG,1967,3438.5
Afghanistan,AFG,1968,3537.75
Afghanistan,AFG,1969,3637.75
Afghanistan,AFG,1970,3437
Afghanistan,AFG,1971,2736.25
Afghanistan,AFG,1972,3332.5
Afghanistan,AFG,1973,3732.95
Afghanistan,AFG,1974,3925
Afghanistan,AFG,1975,3925
Afghanistan,AFG,1976,3925
Afghanistan,AFG,1977,3525
Afghanistan,AFG,1978,3411.5
Afghanistan,AFG,1979,4110.75
Afghanistan,AFG,1980,4210
Afghanistan,AFG,1981,4307.75
Afghanistan,AFG,1982,4410
Afghanistan,AFG,1983,4410
Afghanistan,AFG,1984,4410
Afghanistan,AFG,1985,4410
Afghanistan,AFG,1986,4410.75
Afghanistan,AFG,1987,4311.5
Afghanistan,AFG,1988,4212.25
Afghanistan,AFG,1989,4113
Afghanistan,AFG,1990,4013.75
Afghanistan,AFG,1991,3914.16
Afghanistan,AFG,1992,3897.99
Afghanistan,AFG,1993,3803.5
Afghanistan,AFG,1994,3675
Afghanistan,AFG,1995,2931.67
Afghanistan,AFG,1996,3163.75
Afghanistan,AFG,1997,3410.89
Afghanistan,AFG,1998,3932.69
Afghanistan,AFG,1999,3967.39
Afghanistan,AFG,2000,3438.12
Afghanistan,AFG,2001,3409.42
Afghanistan,AFG,2002,3399.26
Afghanistan,AFG,2003,3626.31
Afghanistan,AFG,2004,3646.32
Afghanistan,AFG,2005,4925
Afghanistan,AFG,2006,3447.5
Afghanistan,AFG,2007,2427.5
Afghanistan,AFG,2008,1037.25
Afghanistan,AFG,2009,612.22
Afghanistan,AFG,2010,60.48
Afghanistan,AFG,2011,60.44
Afghanistan,AFG,2012,61.21
Afghanistan,AFG,2013,137.68
Afghanistan,AFG,2014,960.46
Afghanistan,AFG,2015,1035.28
Afghanistan,AFG,2016,1804.72
Afghanistan,AFG,2017,3167.46
Afghanistan,AFG,2018,3198.89
Afghanistan,AFG,2019,3130.58
Afghanistan,AFG,2020,2511.67
Afghanistan,AFG,2021,2962.34
Afghanistan,AFG,2022,2788.86
Africa,,1961,33810.77
Africa,,1962,30478.94
Africa,,1963,33888.84
Africa,,1964,30011.32
Africa,,1965,27358.11
Africa,,1966,31737.041
Africa,,1967,35417.42
Africa,,1968,32632.4
Africa,,1969,34880.9
Africa,,1970,44048.44
Africa,,1971,49135.49
Africa,,1972,59126.61
Africa,,1973,83666.18
Africa,,1974,97118.75
Africa,,1975,93761.42
Africa,,1976,110644.97
Africa,,1977,176917.34
Africa,,1978,173889.56
Africa,,1979,177315.98
Africa,,1980,179055.52
Africa,,1981,224104.66
Africa,,1982,145232.95
Africa,,1983,125037.99
Africa,,1984,120039.81
Africa,,1985,138328.89
Africa,,1986,167005.27
Africa,,1987,220820.97
Africa,,1988,281487.06
Africa,,1989,241641.88
Africa,,1990,358637.3
Africa,,1991,329936.1
Africa,,1992,207933.62
Africa,,1993,232079.73
Africa,,1994,289748.7
Africa,,1995,357625.62
Africa,,1996,366903.44
Africa,,1997,361377.88
Africa,,1998,402386.8
Africa,,1999,446096.75
Africa,,2000,410412.7
Africa,,2001,404137
Africa,,2002,478670.34
Africa,,2003,483960.47
Africa,,2004,441380.06
Africa,,2005,431630.34
Africa,,2006,379028.34
Africa,,2007,350665.06
Africa,,2008,483833.2
Africa,,2009,629888.8
Africa,,2010,581288.8
Africa,,2011,687504.9
Africa,,2012,712290.5
Africa,,2013,645633.25
Africa,,2014,692447.8
Africa,,2015,682793.75
Africa,,2016,674112.5
Africa,,2017,747942.3
Africa,,2018,762358.2
Africa,,2019,683223.56
Africa,,2020,763643.7
Africa,,2021,808381.75
Africa,,2022,802757.6
Africa (FAO),,1961,33810.78
Africa (FAO),,1962,30478.93
Africa (FAO),,1963,33888.84
Africa (FAO),,1964,30011.32
Africa (FAO),,1965,27358.12
Africa (FAO),,1966,31737.03
Africa (FAO),,1967,35417.41
Africa (FAO),,1968,32632.39
Africa (FAO),,1969,34880.89
Africa (FAO),,1970,44048.44
Africa (FAO),,1971,49135.48
Africa (FAO),,1972,59126.6
Africa (FAO),,1973,83666.17
Africa (FAO),,1974,97118.74
Africa (FAO),,1975,93761.42
Africa (FAO),,1976,110644.96
Africa (FAO),,1977,176917.34
Africa (FAO),,1978,173889.56
Africa (FAO),,1979,177315.98
Africa (FAO),,1980,179055.53
Africa (FAO),,1981,224104.66
Africa (FAO),,1982,145232.95
Africa (FAO),,1983,125037.99
Africa (FAO),,1984,120039.82
Africa (FAO),,1985,138328.89
Africa (FAO),,1986,167005.27
Africa (FAO),,1987,220820.95
Africa (FAO),,1988,281487.03
Africa (FAO),,1989,241641.88
Africa (FAO),,1990,358637.3
Africa (FAO),,1991,329936.1
Africa (FAO),,1992,207933.64
Africa (FAO),,1993,232079.73
Africa (FAO),,1994,289748.7
Africa (FAO),,1995,357625.62
Africa (FAO),,1996,366903.44
Africa (FAO),,1997,361377.88
Africa (FAO),,1998,402386.8
Africa (FAO),,1999,446096.75
Africa (FAO),,2000,410412.7
Africa (FAO),,2001,404137
Africa (FAO),,2002,478670.34
Africa (FAO),,2003,483960.47
Africa (FAO),,2004,441380.06
Africa (FAO),,2005,431630.34
Africa (FAO),,2006,379028.34
Africa (FAO),,2007,350665.06
Africa (FAO),,2008,483833.2
Africa (FAO),,2009,629888.75
Africa (FAO),,2010,581288.8
Africa (FAO),,2011,687504.9
Africa (FAO),,2012,712290.5
Africa (FAO),,2013,645633.25
Africa (FAO),,2014,692447.8
Africa (FAO),,2015,682793.75
Africa (FAO),,2016,674112.5
Africa (FAO),,2017,747942.3
Africa (FAO),,2018,762358.2
Africa (FAO),,2019,683223.56
Africa (FAO),,2020,763643.7
Africa (FAO),,2021,808381.75
Africa (FAO),,2022,802757.6
Albania,ALB,1961,1400
Albania,ALB,1962,1700
Albania,ALB,1963,1900
Albania,ALB,1964,2000
Albania,ALB,1965,2200
Albania,ALB,1966,3000
Albania,ALB,1967,4300
Albania,ALB,1968,4900
Albania,ALB,1969,5800
Albania,ALB,1970,6500
Albania,ALB,1971,6400
Albania,ALB,1972,4900
Albania,ALB,1973,6700
Albania,ALB,1974,8900
Albania,ALB,1975,11500
Albania,ALB,1976,12500
Albania,ALB,1977,12900
Albania,ALB,1978,13300
Albania,ALB,1979,13600
Albania,ALB,1980,10700
Albania,ALB,1981,12100
Albania,ALB,1982,12600
Albania,ALB,1983,20000
Albania,ALB,1984,15500
Albania,ALB,1985,12200
Albania,ALB,1986,11000
Albania,ALB,1987,7800
Albania,ALB,1988,5400
Albania,ALB,1989,7600
Albania,ALB,1990,5500
Albania,ALB,1991,1500
Albania,ALB,1992,1300
Albania,ALB,1993,600
Albania,ALB,1994,400
Albania,ALB,1995,600
Albania,ALB,1996,900
Albania,ALB,1997,888
Albania,ALB,1998,1300
Albania,ALB,1999,940
Albania,ALB,2000,1000
Albania,ALB,2001,800
Albania,ALB,2002,1000
Albania,ALB,2003,450
Albania,ALB,2004,800
Albania,ALB,2005,1100
Albania,ALB,2006,800
Albania,ALB,2007,700
Albania,ALB,2008,800
Albania,ALB,2009,800
Albania,ALB,2010,800
Albania,ALB,2011,1000
Albania,ALB,2012,640
Albania,ALB,2013,490
Albania,ALB,2014,800
Albania,ALB,2015,700
Albania,ALB,2016,700
Albania,ALB,2017,500
Albania,ALB,2018,400
Albania,ALB,2019,300
Albania,ALB,2020,400
Albania,ALB,2021,400
Albania,ALB,2022,300
Algeria,DZA,1961,0
Algeria,DZA,1962,0
Algeria,DZA,1963,0
Algeria,DZA,1964,17.4
Algeria,DZA,1965,32.14
Algeria,DZA,1966,57.18
Algeria,DZA,1967,65.72
Algeria,DZA,1968,146.64
Algeria,DZA,1969,114.54
Algeria,DZA,1970,512.2
Algeria,DZA,1971,321.78
Algeria,DZA,1972,514.62
Algeria,DZA,1973,731.6
Algeria,DZA,1974,532.64
Algeria,DZA,1975,753.42
Algeria,DZA,1976,192.34
Algeria,DZA,1977,538.68
Algeria,DZA,1978,468.82
Algeria,DZA,1979,8.18
Algeria,DZA,1980,12.94
Algeria,DZA,1981,27.24
Algeria,DZA,1982,11.88
Algeria,DZA,1983,32.26
Algeria,DZA,1984,18.2
Algeria,DZA,1985,18.2
Algeria,DZA,1986,18.2
Algeria,DZA,1987,18.2
Algeria,DZA,1988,18.96
Algeria,DZA,1989,18.92
Algeria,DZA,1990,20.7
Algeria,DZA,1991,20.91
Algeria,DZA,1992,23.89
Algeria,DZA,1993,24.67
Algeria,DZA,1994,20.8
Algeria,DZA,1995,21.98
Algeria,DZA,1996,73.67
Algeria,DZA,1997,27.3
Algeria,DZA,1998,21.6
Algeria,DZA,1999,22.73
Algeria,DZA,2000,331.63
Algeria,DZA,2001,683.83
Algeria,DZA,2002,947.09
Algeria,DZA,2003,970.48
Algeria,DZA,2004,632.96
Algeria,DZA,2005,1113.3
Algeria,DZA,2006,562.24
Algeria,DZA,2007,1284.97
Algeria,DZA,2008,1012.49
Algeria,DZA,2009,632.1
Algeria,DZA,2010,798.84
Algeria,DZA,2011,421.16
Algeria,DZA,2012,1075.3
Algeria,DZA,2013,200
Algeria,DZA,2014,1000
Algeria,DZA,2015,1900
Algeria,DZA,2016,3000
Algeria,DZA,2017,3500
Algeria,DZA,2018,4200
Algeria,DZA,2019,2400
Algeria,DZA,2020,2100
Algeria,DZA,2021,3600
Algeria,DZA,2022,4300
Americas (FAO),,1961,199397.88
Americas (FAO),,1962,244621.64
Americas (FAO),,1963,216646.25
Americas (FAO),,1964,161478.34
Americas (FAO),,1965,312940.1
Americas (FAO),,1966,344706.75
Americas (FAO),,1967,413935.12
Americas (FAO),,1968,373918.8
Americas (FAO),,1969,330122.9
Americas (FAO),,1970,404040.62
Americas (FAO),,1971,341881.97
Americas (FAO),,1972,359473.28
Americas (FAO),,1973,484239.62
Americas (FAO),,1974,470973.88
Americas (FAO),,1975,315340.66
Americas (FAO),,1976,427419.94
Americas (FAO),,1977,376028
Americas (FAO),,1978,755917.06
Americas (FAO),,1979,897729.9
Americas (FAO),,1980,944959.1
Americas (FAO),,1981,814595.5
Americas (FAO),,1982,848705.5
Americas (FAO),,1983,1389097.4
Americas (FAO),,1984,1271108.2
Americas (FAO),,1985,1690034.6
Americas (FAO),,1986,1924640.4
Americas (FAO),,1987,1388080.2
Americas (FAO),,1988,1662812.8
Americas (FAO),,1989,1671039
Americas (FAO),,1990,1823701.1
Americas (FAO),,1991,1970120.1
Americas (FAO),,1992,2024166
Americas (FAO),,1993,1627801.2
Americas (FAO),,1994,1721971.5
Americas (FAO),,1995,2605439.2
Americas (FAO),,1996,2563727
Americas (FAO),,1997,2685424
Americas (FAO),,1998,2579355
Americas (FAO),,1999,3152712
Americas (FAO),,2000,2708516.8
Americas (FAO),,2001,1757663
Americas (FAO),,2002,1561223.5
Americas (FAO),,2003,1816430.8
Americas (FAO),,2004,1438547.1
Americas (FAO),,2005,1877849.1
Americas (FAO),,2006,1973760.9
Americas (FAO),,2007,1688984
Americas (FAO),,2008,2276949.8
Americas (FAO),,2009,1958535.4
Americas (FAO),,2010,1617132.1
Americas (FAO),,2011,1858919.6
Americas (FAO),,2012,1982956.8
Americas (FAO),,2013,1474955
Americas (FAO),,2014,1330385
Americas (FAO),,2015,1513675
Americas (FAO),,2016,1472496
Americas (FAO),,2017,1741006.1
Americas (FAO),,2018,1814963.2
Americas (FAO),,2019,1924843.9
Americas (FAO),,2020,1579306.4
Americas (FAO),,2021,1758719.1
Americas (FAO),,2022,2028540.1
Angola,AGO,1961,2447.55
Angola,AGO,1962,1975.75
Angola,AGO,1963,1998.5
Angola,AGO,1964,2308.6
Angola,AGO,1965,2329.6
Angola,AGO,1966,2339.05
Angola,AGO,1967,2681.7
Angola,AGO,1968,1992.9
Angola,AGO,1969,2554.3
Angola,AGO,1970,3267.95
Angola,AGO,1971,2088.45
Angola,AGO,1972,2183.3
Angola,AGO,1973,2462.95
Angola,AGO,1974,3330.6
Angola,AGO,1975,3340.4
Angola,AGO,1976,3336.2
Angola,AGO,1977,3336.2
Angola,AGO,1978,3332
Angola,AGO,1979,3332
Angola,AGO,1980,3332
Angola,AGO,1981,3336.2
Angola,AGO,1982,3378.55
Angola,AGO,1983,3484.6
Angola,AGO,1984,4231.5
Angola,AGO,1985,5657.4
Angola,AGO,1986,6298.25
Angola,AGO,1987,5080.25
Angola,AGO,1988,6060.6
Angola,AGO,1989,5576.9
Angola,AGO,1990,5708.5
Angola,AGO,1991,4006.8
Angola,AGO,1992,4554.2
Angola,AGO,1993,3325.7
Angola,AGO,1994,3669.69
Angola,AGO,1995,3328.61
Angola,AGO,1996,3660.13
Angola,AGO,1997,3323.18
Angola,AGO,1998,3673.6
Angola,AGO,1999,3332
Angola,AGO,2000,3668.33
Angola,AGO,2001,4000.79
