Entity,Code,Year,Sunflower seeds - Production (tonnes)
Afghanistan,AFG,1961,12000
Afghanistan,AFG,1962,12800
Afghanistan,AFG,1963,12800
Afghanistan,AFG,1964,12800
Afghanistan,AFG,1965,13200
Afghanistan,AFG,1966,14000
Afghanistan,AFG,1967,14000
Afghanistan,AFG,1968,14400
Afghanistan,AFG,1969,14800
Afghanistan,AFG,1970,14000
Afghanistan,AFG,1971,11200
Afghanistan,AFG,1972,13600
Afghanistan,AFG,1973,15200
Afghanistan,AFG,1974,16000
Afghanistan,AFG,1975,16000
Afghanistan,AFG,1976,16000
Afghanistan,AFG,1977,14400
Afghanistan,AFG,1978,14000
Afghanistan,AFG,1979,16800
Afghanistan,AFG,1980,17200
Afghanistan,AFG,1981,17600
Afghanistan,AFG,1982,18000
Afghanistan,AFG,1983,18000
Afghanistan,AFG,1984,18000
Afghanistan,AFG,1985,18000
Afghanistan,AFG,1986,18000
Afghanistan,AFG,1987,17600
Afghanistan,AFG,1988,17200
Afghanistan,AFG,1989,16800
Afghanistan,AFG,1990,16400
Afghanistan,AFG,1991,16000
Afghanistan,AFG,1992,15714.8
Afghanistan,AFG,1993,15491.65
Afghanistan,AFG,1994,15000
Afghanistan,AFG,1995,12000
Afghanistan,AFG,1996,13000
Afghanistan,AFG,1997,14000
Afghanistan,AFG,1998,16000
Afghanistan,AFG,1999,15355.19
Afghanistan,AFG,2000,15145.07
Afghanistan,AFG,2001,14394.29
Afghanistan,AFG,2002,13333.73
Afghanistan,AFG,2003,14105.72
Afghanistan,AFG,2004,15000
Afghanistan,AFG,2005,20000
Afghanistan,AFG,2006,9500
Afghanistan,AFG,2007,4400
Afghanistan,AFG,2008,1400
Afghanistan,AFG,2009,240
Afghanistan,AFG,2010,245
Afghanistan,AFG,2011,247
Afghanistan,AFG,2012,250
Afghanistan,AFG,2013,560
Afghanistan,AFG,2014,393
Afghanistan,AFG,2015,303.1
Afghanistan,AFG,2016,652.79
Afghanistan,AFG,2017,738.49
Afghanistan,AFG,2018,804.87
Afghanistan,AFG,2019,882
Afghanistan,AFG,2020,387
Afghanistan,AFG,2021,693.52
Afghanistan,AFG,2022,759.92
Afghanistan,AFG,2023,1067.94
Africa,,1961,140468
Africa,,1962,125015
Africa,,1963,135554
Africa,,1964,118364
Africa,,1965,107574
Africa,,1966,133041
Africa,,1967,140776
Africa,,1968,120786
Africa,,1969,131114
Africa,,1970,162381
Africa,,1971,189801
Africa,,1972,237415
Africa,,1973,332570
Africa,,1974,360018
Africa,,1975,334168
Africa,,1976,409777
Africa,,1977,641760
Africa,,1978,618456
Africa,,1979,478513
Africa,,1980,482354
Africa,,1981,673847
Africa,,1982,409596
Africa,,1983,366194
Africa,,1984,349543
Africa,,1985,424624
Africa,,1986,496948
Africa,,1987,665921
Africa,,1988,824025
Africa,,1989,729064
Africa,,1990,1079798
Africa,,1991,958851.94
Africa,,1992,564758.5
Africa,,1993,688995.2
Africa,,1994,682968.5
Africa,,1995,790907
Africa,,1996,1119864.1
Africa,,1997,775401.8
Africa,,1998,916945.9
Africa,,1999,1565992.5
Africa,,2000,928643.3
Africa,,2001,1106583.1
Africa,,2002,1419840.9
Africa,,2003,1253329.1
Africa,,2004,1198791.4
Africa,,2005,1142642.4
Africa,,2006,1133593.5
Africa,,2007,945177.06
Africa,,2008,1617451.9
Africa,,2009,1793281.8
Africa,,2010,1326748.6
Africa,,2011,2220355.5
Africa,,2012,1840303.2
Africa,,2013,1848479.9
Africa,,2014,2129889.2
Africa,,2015,2062562.2
Africa,,2016,2249863
Africa,,2017,2475216.8
Africa,,2018,2476837
Africa,,2019,2300453
Africa,,2020,2471861
Africa,,2021,2433851.2
Africa,,2022,2714507.8
Africa,,2023,2615580.8
Africa (FAO),,1961,140468
Africa (FAO),,1962,125015
Africa (FAO),,1963,135554
Africa (FAO),,1964,118364
Africa (FAO),,1965,107574
Africa (FAO),,1966,133041
Africa (FAO),,1967,140776
Africa (FAO),,1968,120786
Africa (FAO),,1969,131114
Africa (FAO),,1970,162381
Africa (FAO),,1971,189801
Africa (FAO),,1972,237415
Africa (FAO),,1973,332570
Africa (FAO),,1974,360018
Africa (FAO),,1975,334168
Africa (FAO),,1976,409777
Africa (FAO),,1977,641760
Africa (FAO),,1978,618456
Africa (FAO),,1979,478513
Africa (FAO),,1980,482354
Africa (FAO),,1981,673847
Africa (FAO),,1982,409596
Africa (FAO),,1983,366194
Africa (FAO),,1984,349543
Africa (FAO),,1985,424624
Africa (FAO),,1986,496948
Africa (FAO),,1987,665921
Africa (FAO),,1988,824025
Africa (FAO),,1989,729064
Africa (FAO),,1990,1079798
Africa (FAO),,1991,958851.94
Africa (FAO),,1992,564758.5
Africa (FAO),,1993,688995.2
Africa (FAO),,1994,682968.5
Africa (FAO),,1995,790907
Africa (FAO),,1996,1119864.1
Africa (FAO),,1997,775401.8
Africa (FAO),,1998,916945.9
Africa (FAO),,1999,1565992.5
Africa (FAO),,2000,928643.3
Africa (FAO),,2001,1106583.1
Africa (FAO),,2002,1419840.9
Africa (FAO),,2003,1253329.1
Africa (FAO),,2004,1198791.4
Africa (FAO),,2005,1142642.4
Africa (FAO),,2006,1133593.5
Africa (FAO),,2007,945177.06
Africa (FAO),,2008,1617451.9
Africa (FAO),,2009,1793281.8
Africa (FAO),,2010,1326748.6
Africa (FAO),,2011,2220355.5
Africa (FAO),,2012,1840303.2
Africa (FAO),,2013,1848479.9
Africa (FAO),,2014,2129889.2
Africa (FAO),,2015,2062562.1
Africa (FAO),,2016,2249863
Africa (FAO),,2017,2475216.8
Africa (FAO),,2018,2476837
Africa (FAO),,2019,2300453
Africa (FAO),,2020,2471861
Africa (FAO),,2021,2433851.2
Africa (FAO),,2022,2714507.8
Africa (FAO),,2023,2615580.8
Albania,ALB,1961,4000
Albania,ALB,1962,5000
Albania,ALB,1963,5422
Albania,ALB,1964,5970
Albania,ALB,1965,6283
Albania,ALB,1966,8833
Albania,ALB,1967,12116
Albania,ALB,1968,13874
Albania,ALB,1969,16315
Albania,ALB,1970,18244
Albania,ALB,1971,18054
Albania,ALB,1972,14000
Albania,ALB,1973,19000
Albania,ALB,1974,25000
Albania,ALB,1975,32100
Albania,ALB,1976,34000
Albania,ALB,1977,35000
Albania,ALB,1978,36000
Albania,ALB,1979,35900
Albania,ALB,1980,28560
Albania,ALB,1981,31500
Albania,ALB,1982,32800
Albania,ALB,1983,53000
Albania,ALB,1984,45000
Albania,ALB,1985,36000
Albania,ALB,1986,32500
Albania,ALB,1987,23500
Albania,ALB,1988,17000
Albania,ALB,1989,23870
Albania,ALB,1990,17000
Albania,ALB,1991,4787
Albania,ALB,1992,3447
Albania,ALB,1993,1669
Albania,ALB,1994,1000
Albania,ALB,1995,1649
Albania,ALB,1996,1486
Albania,ALB,1997,2177
Albania,ALB,1998,2652
Albania,ALB,1999,2700
Albania,ALB,2000,2900
Albania,ALB,2001,2700
Albania,ALB,2002,2600
Albania,ALB,2003,1319
Albania,ALB,2004,2200
Albania,ALB,2005,2000
Albania,ALB,2006,2200
Albania,ALB,2007,2400
Albania,ALB,2008,2200
Albania,ALB,2009,2300
Albania,ALB,2010,2600
Albania,ALB,2011,3000
Albania,ALB,2012,2000
Albania,ALB,2013,1500
Albania,ALB,2014,2000
Albania,ALB,2015,2000
Albania,ALB,2016,1971.5
Albania,ALB,2017,1117
Albania,ALB,2018,846
Albania,ALB,2019,1013
Albania,ALB,2020,1259
Albania,ALB,2021,925.5
Albania,ALB,2022,789
Albania,ALB,2023,770
Algeria,DZA,1961,20
Algeria,DZA,1962,30
Algeria,DZA,1963,40
Algeria,DZA,1964,50
Algeria,DZA,1965,93
Algeria,DZA,1966,161
Algeria,DZA,1967,194
Algeria,DZA,1968,400
Algeria,DZA,1969,368
Algeria,DZA,1970,1431
Algeria,DZA,1971,1678
Algeria,DZA,1972,1315
Algeria,DZA,1973,1789
Algeria,DZA,1974,1464
Algeria,DZA,1975,1065
Algeria,DZA,1976,477
Algeria,DZA,1977,392
Algeria,DZA,1978,176
Algeria,DZA,1979,23
Algeria,DZA,1980,45
Algeria,DZA,1981,74
Algeria,DZA,1982,29
Algeria,DZA,1983,87
Algeria,DZA,1984,50
Algeria,DZA,1985,50
Algeria,DZA,1986,50
Algeria,DZA,1987,50
Algeria,DZA,1988,52
Algeria,DZA,1989,52
Algeria,DZA,1990,56
Algeria,DZA,1991,43.94
Algeria,DZA,1992,45.49
Algeria,DZA,1993,47.25
Algeria,DZA,1994,48.52
Algeria,DZA,1995,50
Algeria,DZA,1996,51.11
Algeria,DZA,1997,52.46
Algeria,DZA,1998,53.85
Algeria,DZA,1999,55.26
Algeria,DZA,2000,56.7
Algeria,DZA,2001,58.18
Algeria,DZA,2002,59.69
Algeria,DZA,2003,61.23
Algeria,DZA,2004,62.79
Algeria,DZA,2005,64.4
Algeria,DZA,2006,66.06
Algeria,DZA,2007,67.75
Algeria,DZA,2008,69.47
Algeria,DZA,2009,71.24
Algeria,DZA,2010,70
Algeria,DZA,2011,75
Algeria,DZA,2012,80
Algeria,DZA,2013,80
Algeria,DZA,2014,80
Algeria,DZA,2015,81.74
Algeria,DZA,2016,83.75
Algeria,DZA,2017,85.78
Algeria,DZA,2018,87.82
Algeria,DZA,2019,89.86
Algeria,DZA,2020,87.82
Algeria,DZA,2021,88.5
Algeria,DZA,2022,88.72
Algeria,DZA,2023,88.35
Americas (FAO),,1961,702902
Americas (FAO),,1962,995967
Americas (FAO),,1963,735949
Americas (FAO),,1964,698150
Americas (FAO),,1965,874507
Americas (FAO),,1966,1102927
Americas (FAO),,1967,1349719
Americas (FAO),,1968,1202380
Americas (FAO),,1969,1067635
Americas (FAO),,1970,1341439
Americas (FAO),,1971,1299446
Americas (FAO),,1972,1502442
Americas (FAO),,1973,1440008
Americas (FAO),,1974,1340801
Americas (FAO),,1975,1383571
Americas (FAO),,1976,1684027
Americas (FAO),,1977,2369940
Americas (FAO),,1978,3661787
Americas (FAO),,1979,5070652
Americas (FAO),,1980,3608097
Americas (FAO),,1981,3505397
Americas (FAO),,1982,4592604
Americas (FAO),,1983,3966789
Americas (FAO),,1984,4056168
Americas (FAO),,1985,5013988
Americas (FAO),,1986,5521810
Americas (FAO),,1987,3587743
Americas (FAO),,1988,3960948
Americas (FAO),,1989,4310742
Americas (FAO),,1990,5296751
Americas (FAO),,1991,5992660
Americas (FAO),,1992,5079160
Americas (FAO),,1993,4366488
Americas (FAO),,1994,6561341
Americas (FAO),,1995,7908375
Americas (FAO),,1996,7477681
Americas (FAO),,1997,7463035
Americas (FAO),,1998,8415800
Americas (FAO),,1999,9634970
Americas (FAO),,2000,8132642
Americas (FAO),,2001,5158847
Americas (FAO),,2002,5532720
Americas (FAO),,2003,5504204
Americas (FAO),,2004,4501337
Americas (FAO),,2005,5962089
Americas (FAO),,2006,5237263
Americas (FAO),,2007,5473979
Americas (FAO),,2008,6999152
Americas (FAO),,2009,4750739
Americas (FAO),,2010,4242966
Americas (FAO),,2011,5074912.5
Americas (FAO),,2012,5230905
Americas (FAO),,2013,4532697
